,제목,링크,발행기관,발행연도,저자,초록,주제어
0,딥러닝을 활용한 해양오염 예측도구 개발 및 적용 연구 (Ⅰ),https://www.riss.kr//search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=1ea1af44497f3c12d18150b21a227875&keyword=딥러닝,한국환경정책평가연구원(Korea Environment Institute),2020,김태윤,"Ⅰ. 연구의 배경 및 목적
ㅇ 해양에서 다양한 개발사업이 이루어지고 있으며 개발로 인한 환경적 영향을 예측·평가하여 저감방안을 마련하고 있음
ㅇ 복잡한 해양환경적 특성으로 인해 개...","['딥러닝', '해양', '환경영향평가', 'CNN', '콘볼루션 신경망', '클로로필-a', 'Deep Learning', 'Marine', 'EIA', 'Chlorophyll-a']"
1,딥러닝 관련 발명의 특허법상 보호 방안에 대한 연구,https://www.riss.kr//search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=8fbaff3e9edae0d6c85d2949c297615a&keyword=딥러닝,동아대학교 법학연구소,2020,"전용철(Jun, Yong-Cheul)","딥러닝 기술은 컴퓨터가 사물 등을 구분하기 위한 개념을 가지기 위해 ‘학습’을 수행하며, ‘학습’을 수행하기 위한 학습 모델이 가지는 구조가 깊은 것을 특징으로 한다. 딥러닝 기술은...","['딥러닝', '발명의 성립성', '특허 적격성', '소프트웨어 관련 발명컴퓨터 관련 발명', 'Alice 판결', 'Deep learning', 'eligible subject matter as an invention', 'patent eligibility', 'software-related inventions', 'computer-related inventions', 'Alice Case']"
2,딥러닝 기술이 가지는 보안 문제점에 대한 분석,https://www.riss.kr//search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=fe0f743d3b81db467ecd42904f0c5d65&keyword=딥러닝,한국융합학회,2019,"최희식
                                (삼육대학교)",본 논문에서는 딥러닝 기술이 인터넷과 연결된 다양한 비즈니스 분야에 새로운 형태의 비즈니스 업무에 활용할 수 있도록 보안에 관한 문제점을 분석하고자 한다. 우선 딥러닝이 비즈니스 ...,"['인공지능', '기계학습', '딥러닝', '보안', '비즈니스모델', 'Convergence', 'AI', 'Machine Learning', 'Deep Learning', 'Security', 'Business Model']"
3,인공지능 딥러닝을 활용한 조류현상 예측기술 개발 및 활용방안,https://www.riss.kr//search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=0a29a2dc6173cf3db36097776a77e665&keyword=딥러닝,한국환경정책평가연구원(Korea Environment Institute),2020,홍한움,"Ⅰ. 연구의 배경 및 목적
1. 연구 개요
□ 연구명: 인공지능 딥러닝을 이용한 조류현상 예측기술 개발 및 활용방안
□ 연구기간: 2020.1.1~2020.12.31.
2. 연구의 필요성 및 목적
□ 조류현상의 원인
...","['수질', '조류', '딥러닝', '인공지능', '예측 시스템', 'Water Quality', 'Algal Bloom', 'Water Management', 'Deep Learning']"
4,딥러닝 모델 설계를 위한 모델 패턴 추출 및 시각화,https://www.riss.kr//search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=2018b7600d122280b36097776a77e665&keyword=딥러닝,한국지능시스템학회,2019,박기선(Ki Sun Park),최근 공개되고 있는 딥러닝 모델의 계층구조는 복잡한 형태를 갖는 경향을 보인다. 이러한 딥러닝 모델의 계층구조는 한눈에 파악하기 힘들고 재사용하기 힘들다는 어려움이 있다. 따라서 ...,"['딥러닝 모델 설계', '딥러닝 모델 시각화', '딥러닝 모델 재사용', '빈발 패턴 마이닝', '부분 시퀀스 마이닝', 'Deep Learning Model Design', 'Deep Learning Model visualization', 'Deep Learning Model Reuse', 'Frequent Pattern Mining']"
5,회귀분석과 딥러닝의 예측 정확성에 대한 비교 그리고 딥러닝 모델 최적화를 위한 기법들의 중요성에 대한 실증적 분석,https://www.riss.kr//search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=f3e71b5c2ed26322c85d2949c297615a&keyword=딥러닝,한국전자통신학회,2023,조민호(Min-Ho Cho),"인공지능 기법 중에서 딥러닝은 많은 곳에서 사용되어 효과가 입증된 모델이다. 하지만, 딥러닝 모델이 모든 곳에서 효과적으로 사용되는 것은 아니다. 이번 논문에서는 회귀분석과 딥러닝 ...","['인공 지능', '기계 학습', '신경망', '딥러닝', '모델 최적화', 'Artificial Intelligence', 'Machine Learning', 'Neural Network', 'Deep Learning', 'Model Optimization']"
6,데이터 분석적 사고력 향상을 위한 딥러닝 기반 학습 시스템 개발 연구,https://www.riss.kr//search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=77137042b56c62164884a65323211ff0&keyword=딥러닝,한국정보교육학회,2017,"이영호
                                (서울교육대학교)","본 연구의 목적은 학습자의 데이터 분석적 사고력 향상을 위한 딥러닝 기반 학습 시스템 개발 연구이다. 연구의 내용은 다음과 같다. 첫째, 데이터 분석적 사고력 향상을 위해 발견학습 모형...","['데이터 분석적 사고력', '딥러닝', '발견학습', '딥러닝 기반 학습 시스템', '인공지능', 'Data analytic thinking', 'Deep learning', 'Discovery learning', 'Deep Learning based System', 'Artificial intelligence']"
7,불꽃 감지를 위한 임베디드 시스템에 적합한 딥러닝 구조,https://www.riss.kr//search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=826a1ce78ff2463847de9c1710b0298d&keyword=딥러닝,한국전기전자학회,2019,"라승탁
                                (한밭대학교)","In this paper, we propose a deep learning structure suitable for embedded system. The flame detection process of theproposed deep learning structure consists of four steps：flame area detection using flame color model, flame imageclassification using...","['embedded system', 'deep learning structure', 'resource occupancy rate', 'flame detection time', 'flame detection rate']"
8,SystemC 기반 스토리지와 버퍼 및 딥러닝 가속기 시뮬레이터 시스템 구현,https://www.riss.kr//search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=abb1a2a63216d0edc85d2949c297615a&keyword=딥러닝,한국차세대컴퓨팅학회,2021,"이재빈
                                (한국외국어대학교 컴퓨텅공학부)",최근 IoT 시스템에서 엣지 디바이스를 이용한 데이터 저장 및 분산 처리 연산을 수행하기 위해서 다양한 연구가 진 행되고 있다. 인공지능 추론 연산도 그중 하나로써 임베디드 장치에서 인...,"['엣지 디바이스', '낸드 플래시 메모리', '데이터 버퍼', '딥러닝 가속기', '인공지능 응용', 'Edge Device', 'NAND Flash Memory', 'Data Buffers', 'Deep Learning  Accelerator', 'AI Applications']"
9,의약 용기의 다중 카메라 인라인 검사 시스템에서의 품질검사를 위한 딥러닝 네트워크 개발,https://www.riss.kr//search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=3d05dfc3a2e30eeed18150b21a227875&keyword=딥러닝,한국전기전자학회,2024,"이태윤
                                (국립한밭대학교)",본 논문에서는 의약 용기의 다중카메라 인라인 검사 시스템에서의 품질 검사를 위한 딥러닝 네트워크를 제안한다. 제안하는 딥러닝 네트워크는현장에서 생산되는 의약 용기의 데이터를 사...,"['Deep Learning', 'Inspection System', 'Image Processing', 'Defect Inspection', 'PReLU', 'Residual Learning']"
